Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-10-06,21.06,21.26,20.32,20.46,313357
2010-10-07,20.57,20.64,20.34,20.43,140920
2010-10-08,20.43,20.79,20.39,20.43,266219
2010-10-11,20.44,20.7,20.07,20.24,171194
2010-10-12,20.2,20.28,20.03,20.24,243912
2010-10-13,20.64,20.85,20.36,20.54,319200
2010-10-14,21,21.03,20.4,20.75,294620
2010-10-15,20.89,20.9,20.25,20.54,283045
2010-10-18,20.52,20.64,20.22,20.23,162729
2010-10-19,20.2,20.41,20,20.05,245127
2010-10-20,20.16,20.69,20.04,20.65,312444
2010-10-21,20.61,20.95,20.45,20.75,417099
2010-10-22,20.68,20.93,20.55,20.72,161021
2010-10-25,20.94,20.98,20.73,20.85,118614
2010-10-26,20.8,21.87,20.51,21.36,660841
2010-10-27,21.25,21.38,20.65,21,356500
2010-10-28,21.39,21.5,20.96,21.19,224190
2010-10-29,21.14,21.85,21.05,21.84,278955
2010-11-01,21.94,22.75,21.31,21.41,455784
2010-11-02,21.68,21.88,21.05,21.25,322465
2010-11-03,21.28,22.5,21.16,21.77,374199
2010-11-04,22.6,25.33,22.15,24.9,1874801
2010-11-05,24.87,24.97,23.72,24.44,987386
2010-11-08,24.5,25,24.03,24.98,509375
2010-11-09,25,25.69,24.05,24.63,956649
2010-11-10,24.48,29.97,24.05,29.36,3061038
2010-11-11,28.6,29.1,27.33,28.04,1944794
2010-11-12,28.25,30.5,28.07,29.84,2668613
2010-11-15,30.22,32.94,30.22,30.8,2624233
2010-11-16,31,31.4,28.42,29.67,1347531
2010-11-17,30.2,30.75,28.61,29.49,749941
2010-11-18,30.67,30.74,28.92,29.89,956248
2010-11-19,30.16,31.37,8.03,30.99,1145553
2010-11-22,31.57,33.45,31.5,33.4,1529622
2010-11-23,33.29,35.68,32.19,34.57,1577970
2010-11-24,35.27,35.97,34.33,35.47,1424959
2010-11-26,35.6,36,34.75,35.32,342754
2010-11-29,35.41,35.95,33.33,34.33,1145543
2010-11-30,33.74,35.33,33.41,35.33,2222558
2010-12-01,35.87,36.42,33.45,34.35,1299175
2010-12-02,34.01,34.3,31.2,32.35,2006967
2010-12-03,32.01,32.25,30.87,31.49,1103490
2010-12-06,31.35,31.45,29.56,30.31,1274375
2010-12-07,30.49,32.4,30.05,31.56,1311548
2010-12-08,32.48,32.49,31.52,32.37,659980
2010-12-09,32.51,32.72,31.65,32.05,405983
2010-12-10,32.05,32.92,31.13,31.52,427581
2010-12-13,31.64,31.77,30.4,30.55,410331
2010-12-14,30.29,30.39,27.76,28.53,1765685
2010-12-15,28.67,29.97,28.53,29.6,742900
2010-12-16,30,30.91,29.65,30.81,790070
2010-12-17,31.34,31.54,30.71,31.36,674955
2010-12-20,31.64,32.19,31.26,31.7,523320
2010-12-21,31.8,32.69,31.71,32.26,777678
2010-12-22,32.25,32.86,31.7,32.63,833256
2010-12-23,31.26,32.48,29.92,30.09,1552525
2010-12-27,28.02,28.58,25.06,25.55,9301929
2010-12-28,25.85,26.75,25,26.41,4056270
2010-12-29,27.03,28.01,26.5,27.73,3319430
2010-12-30,27.7,27.9,26.38,26.5,2041067
2010-12-31,26.78,27,26.5,26.63,1211883
2011-01-03,26.84,27,25.9,26.62,1282904
2011-01-04,26.66,26.95,26.02,26.67,1189071
2011-01-05,26.48,26.9,26.19,26.83,1446869
2011-01-06,26.81,28,26.81,27.88,2061117
2011-01-07,28,28.58,27.9,28.24,1513883
2011-01-10,28.15,28.68,28.05,28.45,1342612
2011-01-11,28.59,28.71,26.92,26.96,1710701
2011-01-12,27.01,27.4,26.52,26.96,964722
2011-01-13,26.96,26.97,26.16,26.22,723522
2011-01-14,26.13,26.58,25.61,25.75,1138119
2011-01-18,25.48,25.64,24.75,25.64,1622539
2011-01-19,25.45,25.47,23.75,24.03,2371514
2011-01-20,24.03,24.45,22.37,22.62,2279858
2011-01-21,23.24,23.59,22.71,23.04,1148866
2011-01-24,23.53,24.81,23.23,24.49,1645189
2011-01-25,24.65,24.89,24.02,24.68,1271457
2011-01-26,24.71,24.88,24.1,24.75,1079867
2011-01-27,24.74,25.08,24.53,24.92,895655
2011-01-28,24.81,24.85,23.75,24.01,1005445
2011-01-31,24.05,24.12,23.5,24.1,831151
2011-02-01,24.31,24.73,23.54,23.91,707791
2011-02-02,24.16,24.18,23.67,23.94,569472
2011-02-03,23.82,23.9,23.15,23.63,512067
2011-02-04,23.67,23.67,23.22,23.46,535918
2011-02-07,23.26,23.26,22.88,23.07,895011
2011-02-08,23.78,25.25,23,24.49,3505183
2011-02-09,24.13,24.18,22.79,23.21,2635862
2011-02-10,23.26,23.64,22.81,23.21,836020
2011-02-11,23.25,23.75,22.94,23.25,616591
2011-02-14,23.64,24.14,23.05,23.08,1283104
2011-02-15,23.01,23.17,22.56,22.84,955606
2011-02-16,23.1,24.97,23.07,24.73,4115306
2011-02-18,23.33,23.49,22.96,23.18,2317627
2011-02-22,22.85,23,21.78,21.87,2064540
2011-02-23,22.18,22.5,21.11,21.83,1605508
2011-02-24,21.78,22.58,21.5,22.53,1055450
2011-02-25,22.74,23.85,22.69,23.61,1347257
2011-02-28,23.73,24.1,23.5,23.89,1051106
2011-03-01,24.05,24.32,23.7,23.94,1106350
2011-03-02,23.82,24.28,23.73,24.02,663294
2011-03-03,24.48,24.79,24.06,24.36,640140
2011-03-04,24.46,24.99,23.78,24.95,1580100
2011-03-07,24.89,25.4,24.7,24.94,2033531
2011-03-08,24.6,24.96,24,24.66,1399851
2011-03-09,24.66,24.99,24.27,24.72,924721
2011-03-10,24.43,24.49,23.73,24.01,1016947
2011-03-11,23.85,24.25,23.53,24.07,930794
2011-03-14,23.82,24,23.2,23.25,1165971
2011-03-15,22.16,22.96,21.8,22.95,1318869
2011-03-16,22.86,23.25,22.69,22.82,1169676
2011-03-17,23.24,23.43,22.64,22.81,922504
2011-03-18,23.19,23.19,22.51,22.96,687823
2011-03-21,23.01,23.05,22.54,22.73,411650
2011-03-22,22.74,22.86,22,22.19,582813
2011-03-23,22.11,22.27,21.77,22.21,422793
2011-03-24,22.14,22.38,21.98,22.33,462160
2011-03-25,22.45,23,22.4,22.75,567922
2011-03-28,22.7,23.54,22.55,23.25,1058018
2011-03-29,23.31,24,23.21,23.92,755591
2011-03-30,24.11,24.49,23.01,23.71,1223277
2011-03-31,26.5,28.71,26.5,27.75,11519981
2011-04-01,27.7,28.18,26.57,26.66,2864787
2011-04-04,26.78,27,25.23,25.83,2609227
2011-04-05,25.9,27,25.69,26.7,3181627
2011-04-06,27,27.01,25.8,26.49,1288297
2011-04-07,26.85,27.94,26.45,27.24,2810766
2011-04-08,27.58,27.6,26.36,26.49,1946352
2011-04-11,26.47,26.53,25.02,25.27,1369940
2011-04-12,25.08,25.21,24.3,24.65,1357401
2011-04-13,25.13,25.69,24.81,24.93,1211444
2011-04-14,24.84,25.28,24.2,25.14,983382
2011-04-15,25.65,26.18,25.41,25.58,943451
2011-04-18,25.13,25.62,24.36,25.03,1033871
2011-04-19,25.26,25.26,24.65,25.16,548693
2011-04-20,25.7,26.09,25.3,25.75,837169
2011-04-21,25.84,26.98,25.59,26.74,1386053
2011-04-25,26.7,26.73,25.97,26.39,800839
2011-04-26,26.66,27.25,26.31,26.93,1372343
2011-04-27,26.93,27.36,26.63,27.08,996901
2011-04-28,27.07,27.69,26.72,27.66,1644897
2011-04-29,27.69,27.87,27.42,27.6,726240
2011-05-02,27.6,27.8,27.06,27.45,784560
2011-05-03,27.38,27.39,26.5,26.87,913965
2011-05-04,26.78,27,25.75,26.69,1044699
2011-05-05,27.25,27.44,26.17,26.44,1219449
2011-05-06,26.99,27.7,26.62,27.12,981606
2011-05-09,27,28,26.85,27.91,914803
2011-05-10,28.24,28.95,27.91,28.33,1535468
2011-05-11,28.2,28.3,26.92,27.07,962565
2011-05-12,27.07,27.74,26.65,27.67,627740
2011-05-13,28,28.19,27.3,27.55,661577
2011-05-16,27.99,27.99,26.55,26.6,755622
2011-05-17,27,27,25.72,25.96,1234156
2011-05-18,26.1,26.47,25.52,26.35,729407
2011-05-19,27,28.44,26.6,28.2,2655067
2011-05-20,28.25,28.28,27.35,27.97,842534
2011-05-23,27.54,27.62,26.62,26.82,863548
2011-05-24,27.02,27.5,26.6,26.72,613673
2011-05-25,26.9,29.01,26.17,28.98,4693149
2011-05-26,28.82,29.76,28.1,29.48,3336891
2011-05-27,29.54,29.67,28.82,29.55,1687069
2011-05-31,29.69,30.28,29.55,30.14,3290183
2011-06-01,30,30.1,28.38,28.52,1529896
2011-06-02,28.52,29.32,28.51,28.76,986294
2011-06-03,29.95,31.5,29.5,30.13,6209334
2011-06-06,30.1,30.13,28.26,28.7,2331017
2011-06-07,28.94,29.39,28.26,28.37,1222099
2011-06-08,28.41,28.6,27.02,27.12,1695836
2011-06-09,27.43,28.1,27.1,27.62,1603120
2011-06-10,27.52,28.3,27.35,27.86,1566532
2011-06-13,28.07,28.88,27.88,28.43,1713641
2011-06-14,28.54,29.7,28.52,28.6,1573310
2011-06-15,28.44,28.45,27.07,27.32,1346579
2011-06-16,27.67,28,25.74,26.5,1842124
2011-06-17,26.87,27.7,26.14,26.5,1697936
2011-06-20,26.29,26.46,25.5,26.01,1537709
2011-06-21,26.24,27.73,26,27.53,1496563
2011-06-22,27.53,28.25,27.1,27.21,1475533
2011-06-23,27.2,27.72,26.21,27.71,1169990
2011-06-24,27.69,27.97,27.26,27.57,3326368
2011-06-27,27.73,28.28,27.31,27.46,1809367
2011-06-28,27.79,28.25,27.67,28.11,889132
2011-06-29,28.5,29.09,28.07,28.29,1459208
2011-06-30,28.6,29.33,28.4,29.13,946654
2011-07-01,29.07,29.6,28.8,29.02,854839
2011-07-05,29.19,29.52,28.71,29.14,995989
2011-07-06,29.14,29.14,28.55,28.96,926889
2011-07-07,29.14,30,29.01,29.73,1289485
2011-07-08,29.89,29.89,28.59,28.81,1240580
2011-07-11,28.4,28.53,28,28.35,975703
2011-07-12,28.37,29.09,28,28.17,1045306
2011-07-13,28.44,29.03,27.9,28.64,1065942
2011-07-14,28.96,28.96,27.25,27.61,1159131
2011-07-15,27.79,27.83,27.4,27.58,708954
2011-07-18,27.34,27.45,26.63,27.23,851877
2011-07-19,27.58,28.11,27.54,27.89,1026048
2011-07-20,28,30.44,27.8,28.69,3022479
2011-07-21,28.91,29.16,28.1,28.7,1012006
2011-07-22,28.7,29.54,28.55,29.29,583868
2011-07-25,29.01,29.25,28.44,28.49,673391
2011-07-26,28.31,28.77,27.97,28,760532
2011-07-27,28.5,28.5,27.51,27.64,958403
2011-07-28,27.6,28.55,27.54,28.17,906356
2011-07-29,27.73,28.4,27.5,28.17,948127
2011-08-01,28.67,28.98,28.21,28.77,1164822
2011-08-02,28.69,29.2,27.27,27.34,1546120
2011-08-03,27.5,27.83,26.34,27.2,1800828
2011-08-04,26.51,26.89,24.67,24.75,3065183
2011-08-05,24.99,25.38,22.83,24.24,1964055
2011-08-08,23.16,24.44,23.1,23.64,2608472
2011-08-09,24.4,25.45,23.7,25.06,1333382
2011-08-10,25.4,25.44,23.63,23.82,1560047
2011-08-11,24.04,25.75,24,25.3,829884
2011-08-12,25.6,27.14,25.36,26.31,1009020
2011-08-15,26.62,26.75,25.93,26.23,645358
2011-08-16,26.13,26.54,25.83,26.1,537688
2011-08-17,26.39,26.65,25.51,25.83,643672
2011-08-18,25,25.15,23.47,24.26,1056569
2011-08-19,23.8,24.22,22,22.3,1375277
2011-08-22,23.11,23.8,21.68,21.95,986081
2011-08-23,21.93,23.11,21.5,22.96,868968
2011-08-24,23.1,23.93,22.83,23.87,684238
2011-08-25,23.87,23.87,22.9,23.11,679740
2011-08-26,22.71,23.95,22.07,23.73,761756
2011-08-29,24.22,24.85,24.02,24.71,803302
2011-08-30,24.5,24.77,24.09,24.63,366159
2011-08-31,24.8,25.5,24.28,24.74,823735
2011-09-01,24.66,24.87,23.84,24,848085
2011-09-02,23.76,23.76,22.68,23.07,679205
2011-09-06,22.5,23.2,22.29,22.94,809760
2011-09-07,23.42,24,23.28,23.84,459186
2011-09-08,23.58,24.03,23.28,23.61,505697
2011-09-09,23.37,23.57,22.55,22.97,669263
2011-09-12,22.89,23.31,22.45,22.88,566571
2011-09-13,23.01,24.1,22.75,24.08,726461
2011-09-14,24.34,24.84,23.79,24.34,830777
2011-09-15,24.58,24.93,24.33,24.82,562512
2011-09-16,24.49,25.84,24.49,25.8,1417074
2011-09-19,24.93,25.81,23.82,25.77,1071063
2011-09-20,25.77,26.6,25.67,26.01,1180351
2011-09-21,25.95,26.95,25.7,25.85,987577
2011-09-22,25.64,26.11,24.88,25.63,775802
2011-09-23,25.42,26.62,25.35,26.38,1156328
2011-09-26,26.5,26.52,24.9,25.52,934715
2011-09-27,26,26.99,25.57,26.19,674429
2011-09-28,26,26.5,24.51,24.59,723206
2011-09-29,25.72,25.82,23.55,24.12,929545
2011-09-30,24.8,24.89,23.49,24.39,1336054
2011-10-03,24.95,25,23.25,23.73,1023130
2011-10-04,23.29,24.32,22.93,23.66,1200214
2011-10-05,24.03,25.83,23.35,25.37,1229414
2011-10-06,25.48,27.6,25.02,26.96,1769026
2011-10-07,27,27.6,26.05,26.99,1092685
2011-10-10,27.35,28.18,27,27.88,923416
2011-10-11,27.51,27.77,27.09,27.61,575603
2011-10-12,27.25,28,27.2,27.8,1123364
2011-10-13,27.73,28.47,27.44,27.94,1043413
2011-10-14,28.01,28.55,27.26,28.05,1400469
2011-10-17,27.86,28,27.26,27.42,754439
2011-10-18,27.3,28.43,26.71,28.34,999690
2011-10-19,28.06,28.06,27.3,27.57,792850
2011-10-20,27.44,27.47,27,27.34,999647
2011-10-21,27.4,28.3,27.01,28.03,1142550
2011-10-24,27.87,28.89,27.75,28.55,920776
2011-10-25,28.23,28.86,27.8,28.25,654371
2011-10-26,28.25,28.37,27.4,27.98,510479
2011-10-27,28.34,28.95,28.11,28.76,869335
2011-10-28,28.45,30,28.01,29.87,1263973
2011-10-31,29.5,29.51,28.75,29.37,1133969
2011-11-01,28.4,28.92,28,28.88,635775
2011-11-02,29,29.26,28.25,28.71,875521
2011-11-03,30,32.49,29.53,32.46,2510603
2011-11-04,31.46,32.4,30.51,32.31,3033107
2011-11-07,31.64,32,30.75,31.27,1266269
2011-11-08,31.37,32,30.72,31.84,1167830
2011-11-09,30.87,31.49,30.3,30.88,890257
2011-11-10,30.94,31.5,30.65,31.33,747273
2011-11-11,31.9,34.5,30.57,33.64,3868276
2011-11-14,33,33.54,32.62,33.22,1325656
2011-11-15,32.92,34.4,32.73,33.93,890905
2011-11-16,33.48,35,33.4,34.94,1833136
2011-11-17,34.5,34.9,33.19,33.68,1349265
2011-11-18,33.64,34.11,32.54,32.6,902729
2011-11-21,32.29,32.44,31.05,31.76,1031524
2011-11-22,31.76,32.79,31.05,32.07,732518
2011-11-23,31.76,32.05,31.25,31.45,451713
2011-11-25,31.86,32.41,31.08,31.66,239595
2011-11-28,32,33.28,31.81,32.56,681124
2011-11-29,32.5,33.07,31.63,31.75,591054
2011-11-30,32.72,32.93,32.22,32.74,760265
2011-12-01,32.57,33.99,31.98,32.6,1030108
2011-12-02,32.83,33.69,32.4,33.3,802718
2011-12-05,33.53,35,33.43,34.42,1160050
2011-12-06,34.2,34.98,34.03,34.87,951710
2011-12-07,34.63,34.89,33.8,34.19,674244
2011-12-08,30.84,31.65,29.61,30.89,3305945
2011-12-09,30.54,31.12,30.28,31.04,1239444
2011-12-12,30.44,30.62,30.02,30.41,758657
2011-12-13,30.57,30.93,28.91,29.45,994015
2011-12-14,29.5,29.68,28,28.53,1163840
2011-12-15,28.86,29.17,28.12,28.62,646962
2011-12-16,28.75,28.93,27.98,28,1029605
2011-12-19,28.11,28.5,27.37,27.75,986952
2011-12-20,28.05,28.45,27.72,27.9,843281
2011-12-21,27.91,28.07,26.03,27.57,1705407
2011-12-22,27.6,28.05,27.3,27.77,1009302
2011-12-23,28,28,27.52,27.9,591390
2011-12-27,27.66,28.77,27.64,28.57,777403
2011-12-28,28.99,29.24,28.04,28.51,575138
2011-12-29,28.59,29.34,28.55,28.73,488150
2011-12-30,28.49,28.98,28.25,28.56,339860
2012-01-03,28.94,29.5,27.65,28.08,928052
2012-01-04,28.21,28.67,27.5,27.71,616466
2012-01-05,27.76,27.93,26.85,27.12,1005432
2012-01-06,27.25,27.79,26.41,26.91,986287
2012-01-09,27,27.49,26.12,27.25,896951
2012-01-10,27.44,27.76,27.25,27.62,671732
2012-01-11,27.62,28.38,27.3,28.23,672239
2012-01-12,28.27,28.62,27.81,28.25,729300
2012-01-13,28.45,28.5,22.64,22.79,5502953
2012-01-17,26.66,27.34,26.41,26.6,4651391
2012-01-18,26.69,26.88,26.25,26.81,1260183
2012-01-19,27.02,27.74,26.61,26.76,1246222
2012-01-20,26.92,27,26.4,26.6,647789
2012-01-23,26.81,27.21,26.6,26.77,594533
2012-01-24,26.63,27.68,26.44,27.42,857914
2012-01-25,27.27,28.01,27.05,27.97,611112
2012-01-26,28,29.58,28,28.94,1271028
2012-01-27,28.5,29.72,28.5,29.33,748361
2012-01-30,29.48,29.61,28.53,29.57,690147
2012-01-31,29.88,30,28.87,29.07,956413
2012-02-01,29.13,29.7,29,29.58,523169
2012-02-02,29.72,30.88,29.6,30.25,791484
2012-02-03,30.41,31.33,30.25,31.15,764418
2012-02-06,31.1,31.9,31.05,31.8,652161
2012-02-07,31.8,31.8,30.82,31.6,939315
2012-02-08,31.61,32.01,31.29,31.93,623626
2012-02-09,32,32.9,31.43,32.58,1277476
2012-02-10,32.26,32.27,29.84,31.1,1876975
2012-02-13,31.55,32.06,30.9,31.49,1157858
2012-02-14,31.64,33.79,31.4,33.17,1810775
2012-02-15,33.1,34.41,32.27,33.6,2689141
2012-02-16,33.5,34.51,32.54,34.19,2078550
2012-02-17,33.99,34.97,33.5,34.97,1376645
2012-02-21,34.87,34.87,33.81,34.5,1135788
2012-02-22,34.5,34.72,32.5,34.22,1654985
2012-02-23,33.99,34.97,33.56,34.53,820345
2012-02-24,34.49,34.52,33.27,33.75,959866
2012-02-27,33.41,34,33,33.62,605953
2012-02-28,33.69,34.44,33.17,33.81,612183
2012-02-29,33.81,34.12,33.14,33.41,535684
2012-03-01,33.51,34.5,33.31,34.41,703435
2012-03-02,34.26,34.5,33.71,34.04,549971
2012-03-05,34.16,34.4,33.46,33.77,466938
2012-03-06,33.25,33.28,32.62,33.11,573749
2012-03-07,33.11,33.3,32.91,33.12,274729
2012-03-08,33.11,33.49,33.04,33.07,633267
2012-03-09,33.2,35.31,33.2,34.74,1553323
2012-03-12,34.69,36.29,34.6,36.01,1964520
2012-03-13,36.5,36.59,35.5,36.09,1001643
2012-03-14,36,36,34.8,35.29,851464
2012-03-15,35.28,35.48,34.78,35,571596
2012-03-16,34.99,35.89,34.83,35.32,640092
2012-03-19,35.26,35.32,34.54,34.98,1015586
2012-03-20,34.98,35.2,34.57,34.96,567001
2012-03-21,34.94,35.3,34.6,35.15,607103
2012-03-22,34.97,35.15,34.3,34.4,458759
2012-03-23,34.43,34.63,33.15,34.08,1170567
2012-03-26,35.6,38.09,35.04,37.4,3140891
2012-03-27,37.16,39.95,37.03,37.94,2540053
2012-03-28,37.79,38.44,37.11,37.85,954970
2012-03-29,38.19,38.19,37.03,37.33,796335
2012-03-30,37.74,37.94,36.68,37.24,886312
2012-04-02,37.33,37.97,36.53,36.58,1028504
2012-04-03,36.72,38.47,36.67,38.01,1101420
2012-04-04,35.27,35.49,34.69,35,4481725
2012-04-05,35.1,35.44,34.68,34.71,1007764
2012-04-09,34.1,34.29,33.1,33.15,1555475
2012-04-10,33.15,33.85,32.1,32.46,1847669
2012-04-11,33.24,33.29,32.01,33.09,1105447
2012-04-12,33.77,34.48,32.92,33.44,1033804
2012-04-13,33.94,34.04,32.85,33.59,649580
2012-04-16,33.58,33.7,32.09,32.25,1099751
2012-04-17,32.43,33.07,32.04,32.24,1115538
2012-04-18,32.09,32.75,31.53,32.66,823096
2012-04-19,32.75,33.43,32.5,33.16,774878
2012-04-20,33.14,33.73,32.94,33.16,821774
2012-04-23,32.86,32.97,31.71,31.94,890715
2012-04-24,31.82,32.2,31,31.82,674467
2012-04-25,32.07,32.99,32.07,32.91,712133
2012-04-26,32.96,33.52,32.91,33.49,425719
2012-04-27,33.6,33.63,32.91,33.34,590905
2012-04-30,33.27,33.36,32.58,33.13,413848
2012-05-01,33.13,34.21,33.13,33.78,683198
2012-05-02,33.5,34.39,33.39,33.94,497251
2012-05-03,33.91,34,32.13,32.46,842107
2012-05-04,32.32,32.46,31.4,31.83,1247486
2012-05-07,31.96,32.58,31.61,32.47,1157969
2012-05-08,32.5,32.73,29.37,30.19,3133152
2012-05-09,30.3,30.77,29.76,30.06,1935993
2012-05-10,32.97,34.68,32.4,32.96,5638084
2012-05-11,32.49,33.44,32.16,32.25,1221205
2012-05-14,31.92,32.13,30.05,30.06,1408827
2012-05-15,30.26,30.96,29.22,29.43,1585682
2012-05-16,29.58,30.18,28.88,29.18,1271533
2012-05-17,29.3,29.79,28.24,28.57,1020136
2012-05-18,28.37,28.46,26.83,27.56,1616487
2012-05-21,27.58,29.26,27.12,28.77,1528559
2012-05-22,30.1,31.34,30,30.79,2366170
2012-05-23,30.56,31.05,29.5,31.02,1242790
2012-05-24,31.25,31.25,29.69,30.32,1013975
2012-05-25,30.16,30.41,29.2,29.81,757009
2012-05-29,30.01,31.93,30.01,31.69,1649917
2012-05-30,31.08,31.42,30.24,30.41,1307141
2012-05-31,30.07,30.29,28.75,29.5,1118701
2012-06-01,28.53,29.16,27.76,28.15,885710
2012-06-04,28.03,28.41,27.11,27.88,1030834
2012-06-05,27.84,28.39,27.56,27.91,630885
2012-06-06,28.2,29.45,28.14,29.15,889102
2012-06-07,29.81,29.87,28.85,28.93,492015
2012-06-08,28.86,30.19,28.15,30.08,881209
2012-06-11,30.31,31,28.96,29.12,635947
2012-06-12,29.23,29.84,28.81,29.66,568994
2012-06-13,29.55,30.64,29.47,29.77,844371
2012-06-14,30.18,30.65,28.62,29.39,872161
2012-06-15,29.39,29.95,28.81,29.91,646737
2012-06-18,29.94,32.33,29.5,31.84,1256796
2012-06-19,32.02,32.66,31.5,32.09,911029
2012-06-20,33.5,34.5,33.21,33.78,3422342
2012-06-21,34.26,34.28,31.84,32.19,1891895
2012-06-22,32.6,33.98,32.46,33.79,3047452
2012-06-25,33.95,34.12,32.75,33.11,1378636
2012-06-26,32.05,32.35,31.39,31.61,2613849
2012-06-27,31.9,32.45,31.57,31.96,1047194
2012-06-28,31.9,32.11,30.62,31.41,914040
2012-06-29,32.8,32.8,31,31.29,1125704
2012-07-02,31.35,31.8,30.19,30.4,1315534
2012-07-03,30.6,31,30.4,30.66,947128
2012-07-05,30.81,31.67,30.8,31.23,1253766
2012-07-06,30.99,31.73,30.8,30.99,784461
2012-07-09,30.94,31.83,30.67,31.49,910409
2012-07-10,31.54,32.48,30.89,31.27,758352
2012-07-11,31.57,31.68,31.01,31.51,638516
2012-07-12,31.29,33.01,30.8,32.7,1125670
2012-07-13,32.97,34.4,32.83,34.25,1304712
2012-07-16,34.32,36,33.9,35.96,1743900
2012-07-17,35,35.21,32.38,33.35,2569213
2012-07-18,31.42,33.67,31.06,32.15,2882084
2012-07-19,32.72,33.15,32.04,32.27,1435878
2012-07-20,32.07,32.25,31.25,31.79,1568466
2012-07-23,31.05,31.3,30.62,30.66,1386743
2012-07-24,30.66,31.04,29.62,29.84,1500426
2012-07-25,29.92,29.98,28.75,28.95,2843016
2012-07-26,29.9,30,27.64,28.13,2263005
2012-07-27,28.71,29.66,28.1,29.51,1672968
2012-07-30,29.51,30.25,27.21,27.35,2066040
2012-07-31,27.54,27.97,27.35,27.42,1575060
2012-08-01,27.99,27.99,26.03,26.25,1592217
2012-08-02,26.84,26.85,25.52,26.1,1305016
2012-08-03,26.9,27.55,26.74,27.27,1209470
2012-08-06,27.55,28.7,27.55,28.27,1528169
2012-08-07,28.77,30.9,28.5,30.25,2387304
2012-08-08,29.9,30,28.59,29.09,1308895
